FID;Municipality;Application;Antenna height;Coordinates;
antenneregister.fid-5a1e297e_17d0a604c22_-263c;Aa en Hunze;GSM 1800;41.9;254635.3301;556754.5
antenneregister.fid-5a1e297e_17d0a604c22_-263b;Aa en Hunze;GSM 1800;36.9;244381;551634
antenneregister.fid-5a1e297e_17d0a604c22_-263a;Aa en Hunze;GSM 900;30;243851.7321;563101
antenneregister.fid-5a1e297e_17d0a604c22_-2639;Aa en Hunze;GSM 900;25.8;243807;563137
antenneregister.fid-5a1e297e_17d0a604c22_-2638;Aa en Hunze;GSM 900;26.9;243851.7321;563099
antenneregister.fid-5a1e297e_17d0a604c22_-2637;Aa en Hunze;GSM 900;48.5;246199;559051
antenneregister.fid-5a1e297e_17d0a604c22_-2636;Aa en Hunze;GSM 900;38;254641.7321;556761
antenneregister.fid-5a1e297e_17d0a604c22_-2635;Aa en Hunze;GSM 900;41.9;254629.2679;556756
antenneregister.fid-5a1e297e_17d0a604c22_-2634;Aa en Hunze;GSM 900;37.5;254641.7321;556759
antenneregister.fid-5a1e297e_17d0a604c22_-2633;Aa en Hunze;GSM 900;35;246281.7321;559079
antenneregister.fid-5a1e297e_17d0a604c22_-2632;Aa en Hunze;GSM 900;23;247204.3301;557712.5
antenneregister.fid-5a1e297e_17d0a604c22_-2631;Aa en Hunze;GSM 900;35.8;247611;557624
antenneregister.fid-5a1e297e_17d0a604c22_-2630;Aa en Hunze;GSM 900;36.4;247615.3301;557622.5
antenneregister.fid-5a1e297e_17d0a604c22_-262f;Aa en Hunze;GSM 900;28;241210;550835
antenneregister.fid-5a1e297e_17d0a604c22_-262e;Aa en Hunze;GSM 900;35;241204.3301;550727.5
antenneregister.fid-5a1e297e_17d0a604c22_-262d;Aa en Hunze;GSM 900;24;241196;550828
antenneregister.fid-5a1e297e_17d0a604c22_-262c;Aa en Hunze;GSM 900;37.2;241006.3301;554059.5
antenneregister.fid-5a1e297e_17d0a604c22_-262b;Aa en Hunze;GSM 900;35;239145;555839
antenneregister.fid-5a1e297e_17d0a604c22_-262a;Aa en Hunze;GSM 900;30.4;240271.7321;556484
antenneregister.fid-5a1e297e_17d0a604c22_-2629;Aa en Hunze;GSM 900;25;240274.3301;556477.5
antenneregister.fid-5a1e297e_17d0a604c22_-2628;Aa en Hunze;GSM 900;41;243820;545958
antenneregister.fid-5a1e297e_17d0a604c22_-2627;Aa en Hunze;GSM 900;46;243904.3301;545997.5
antenneregister.fid-5a1e297e_17d0a604c22_-2626;Aa en Hunze;GSM 900;39.1;243857;545948
antenneregister.fid-5a1e297e_17d0a604c22_-2625;Aa en Hunze;LTE;30;243850;563098
antenneregister.fid-5a1e297e_17d0a604c22_-2624;Aa en Hunze;LTE;26.9;243845.6699;563097.5
antenneregister.fid-5a1e297e_17d0a604c22_-2623;Aa en Hunze;LTE;38;254640;556755
antenneregister.fid-5a1e297e_17d0a604c22_-2622;Aa en Hunze;LTE;37.5;254635.6699;556757.5
antenneregister.fid-5a1e297e_17d0a604c22_-2621;Aa en Hunze;LTE;22.5;247195.6699;557712.5
antenneregister.fid-5a1e297e_17d0a604c22_-2620;Aa en Hunze;LTE;35;246278.2679;559079
antenneregister.fid-5a1e297e_17d0a604c22_-261f;Aa en Hunze;LTE;36.4;247609.2679;557624
antenneregister.fid-5a1e297e_17d0a604c22_-261e;Aa en Hunze;LTE;35;241198.2679;550729
antenneregister.fid-5a1e297e_17d0a604c22_-261d;Aa en Hunze;LTE;37.2;240997.6699;554059.5
antenneregister.fid-5a1e297e_17d0a604c22_-261c;Aa en Hunze;LTE;30.4;240265.6699;556482.5
antenneregister.fid-5a1e297e_17d0a604c22_-261b;Aa en Hunze;LTE;25;240265.6699;556477.5
antenneregister.fid-5a1e297e_17d0a604c22_-261a;Aa en Hunze;LTE;46;243895.6699;545997.5
antenneregister.fid-5a1e297e_17d0a604c22_-2619;Aa en Hunze;LTE;23.5;236644;552872
antenneregister.fid-5a1e297e_17d0a604c22_-2618;Aa en Hunze;UMTS;38.5;243845.6699;563102.5
antenneregister.fid-5a1e297e_17d0a604c22_-2617;Aa en Hunze;UMTS;25.8;243807;563144
antenneregister.fid-5a1e297e_17d0a604c22_-2616;Aa en Hunze;UMTS;26.9;243850;563105
antenneregister.fid-5a1e297e_17d0a604c22_-2615;Aa en Hunze;UMTS;43;246199;559058
antenneregister.fid-5a1e297e_17d0a604c22_-2614;Aa en Hunze;UMTS;38.8;254635.6699;556762.5
antenneregister.fid-5a1e297e_17d0a604c22_-2613;Aa en Hunze;UMTS;42;254640;556762
antenneregister.fid-5a1e297e_17d0a604c22_-2612;Aa en Hunze;UMTS;41.9;254631;556762
antenneregister.fid-5a1e297e_17d0a604c22_-2611;Aa en Hunze;UMTS;36.4;247611;557627
antenneregister.fid-5a1e297e_17d0a604c22_-2610;Aa en Hunze;UMTS;25.3;247200;557717
antenneregister.fid-5a1e297e_17d0a604c22_-260f;Aa en Hunze;UMTS;35;246280;559082
antenneregister.fid-5a1e297e_17d0a604c22_-260e;Aa en Hunze;UMTS;20.6;247193;557598
antenneregister.fid-5a1e297e_17d0a604c22_-260d;Aa en Hunze;UMTS;35.8;247611;557628
antenneregister.fid-5a1e297e_17d0a604c22_-260c;Aa en Hunze;UMTS;28;241210;550842
antenneregister.fid-5a1e297e_17d0a604c22_-260b;Aa en Hunze;UMTS;24;241196;550835
antenneregister.fid-5a1e297e_17d0a604c22_-260a;Aa en Hunze;UMTS;35;241200;550735
antenneregister.fid-5a1e297e_17d0a604c22_-2609;Aa en Hunze;UMTS;37.2;241002;554067
antenneregister.fid-5a1e297e_17d0a604c22_-2608;Aa en Hunze;UMTS;33.9;244384;551640
antenneregister.fid-5a1e297e_17d0a604c22_-2607;Aa en Hunze;UMTS;36.9;244381;551638
antenneregister.fid-5a1e297e_17d0a604c22_-2606;Aa en Hunze;UMTS;38.6;239169;555867
antenneregister.fid-5a1e297e_17d0a604c22_-2605;Aa en Hunze;UMTS;25;240270;556482
antenneregister.fid-5a1e297e_17d0a604c22_-2604;Aa en Hunze;UMTS;35;239145;555846
antenneregister.fid-5a1e297e_17d0a604c22_-2603;Aa en Hunze;UMTS;27.4;240270;556490
antenneregister.fid-5a1e297e_17d0a604c22_-2602;Aa en Hunze;UMTS;36.3;243820;545965
antenneregister.fid-5a1e297e_17d0a604c22_-2601;Aa en Hunze;UMTS;47.3;243900;546005
antenneregister.fid-5a1e297e_17d0a604c22_-2600;Aa en Hunze;UMTS;39.1;243857;545958
antenneregister.fid-5a1e297e_17d0a604c22_-25ff;Aalburg;GSM 1800;44.5;136462;419580
antenneregister.fid-5a1e297e_17d0a604c22_-25fe;Aalburg;GSM 900;30;131951.7321;413899
antenneregister.fid-5a1e297e_17d0a604c22_-25fd;Aalburg;GSM 900;34.9;132173.7321;415758
antenneregister.fid-5a1e297e_17d0a604c22_-25fc;Aalburg;GSM 900;28.5;136325;419550
antenneregister.fid-5a1e297e_17d0a604c22_-25fb;Aalburg;GSM 900;44.5;136460;419575
antenneregister.fid-5a1e297e_17d0a604c22_-25fa;Aalburg;GSM 900;25.4;137324;419072
antenneregister.fid-5a1e297e_17d0a604c22_-25f9;Aalburg;LTE;30;131945.6699;413897.5
antenneregister.fid-5a1e297e_17d0a604c22_-25f8;Aalburg;LTE;34.9;132167.6699;415756.5
antenneregister.fid-5a1e297e_17d0a604c22_-25f7;Aalburg;LTE;44.5;136458;419580
antenneregister.fid-5a1e297e_17d0a604c22_-25f6;Aalburg;UMTS;30;131950;413902
antenneregister.fid-5a1e297e_17d0a604c22_-25f5;Aalburg;UMTS;36.1;132172;415761
antenneregister.fid-5a1e297e_17d0a604c22_-25f4;Aalburg;UMTS;28;132176;415766
antenneregister.fid-5a1e297e_17d0a604c22_-25f3;Aalburg;UMTS;22.5;133835;416408
antenneregister.fid-5a1e297e_17d0a604c22_-25f2;Aalburg;UMTS;44.5;136460;419582
antenneregister.fid-5a1e297e_17d0a604c22_-25f1;Aalburg;UMTS;25.4;137324;419079
antenneregister.fid-5a1e297e_17d0a604c22_-25f0;Aalsmeer;GSM 1800;31.4;113846;475147
antenneregister.fid-5a1e297e_17d0a604c22_-25ef;Aalsmeer;GSM 1800;26.5;113827;474673
antenneregister.fid-5a1e297e_17d0a604c22_-25ee;Aalsmeer;GSM 1800;30.2;114012;474777
antenneregister.fid-5a1e297e_17d0a604c22_-25ed;Aalsmeer;GSM 1800;36.9;112425;474760
antenneregister.fid-5a1e297e_17d0a604c22_-25ec;Aalsmeer;GSM 1800;36.8;114428.3301;476224.5
antenneregister.fid-5a1e297e_17d0a604c22_-25eb;Aalsmeer;GSM 1800;23.1;113163;474593
antenneregister.fid-5a1e297e_17d0a604c22_-25ea;Aalsmeer;GSM 1800;26;111635;471856
antenneregister.fid-5a1e297e_17d0a604c22_-25e9;Aalsmeer;GSM 1800;34;107081;471185
antenneregister.fid-5a1e297e_17d0a604c22_-25e8;Aalsmeer;GSM 900;29.9;114007;474772
antenneregister.fid-5a1e297e_17d0a604c22_-25e7;Aalsmeer;GSM 900;25.9;113825;474668
antenneregister.fid-5a1e297e_17d0a604c22_-25e6;Aalsmeer;GSM 900;23.3;112417.7321;474762
antenneregister.fid-5a1e297e_17d0a604c22_-25e5;Aalsmeer;GSM 900;29.5;112423;474755
antenneregister.fid-5a1e297e_17d0a604c22_-25e4;Aalsmeer;GSM 900;18.5;113951.7321;477159
antenneregister.fid-5a1e297e_17d0a604c22_-25e3;Aalsmeer;GSM 900;23.2;113158;474591
antenneregister.fid-5a1e297e_17d0a604c22_-25e2;Aalsmeer;GSM 900;19.3;112435;474738
antenneregister.fid-5a1e297e_17d0a604c22_-25e1;Aalsmeer;GSM 900;17.4;111916.3301;475403.5
antenneregister.fid-5a1e297e_17d0a604c22_-25e0;Aalsmeer;GSM 900;20.5;111575.7321;475610
antenneregister.fid-5a1e297e_17d0a604c22_-25df;Aalsmeer;GSM 900;15;112461.7321;475759
antenneregister.fid-5a1e297e_17d0a604c22_-25de;Aalsmeer;GSM 900;29;113610;475186
antenneregister.fid-5a1e297e_17d0a604c22_-25dd;Aalsmeer;GSM 900;14.5;113554.3301;474397.5
antenneregister.fid-5a1e297e_17d0a604c22_-25dc;Aalsmeer;GSM 900;31.4;113841;475142
antenneregister.fid-5a1e297e_17d0a604c22_-25db;Aalsmeer;GSM 900;27.8;114416.3301;476229.5
antenneregister.fid-5a1e297e_17d0a604c22_-25da;Aalsmeer;GSM 900;16.7;112111.7321;475249
antenneregister.fid-5a1e297e_17d0a604c22_-25d9;Aalsmeer;GSM 900;26;111633;471851
antenneregister.fid-5a1e297e_17d0a604c22_-25d8;Aalsmeer;GSM 900;22.5;111634.7321;471862
antenneregister.fid-5a1e297e_17d0a604c22_-25d7;Aalsmeer;GSM 900;18.8;111635;471864
antenneregister.fid-5a1e297e_17d0a604c22_-25d6;Aalsmeer;GSM 900;34;107076;471183
antenneregister.fid-5a1e297e_17d0a604c22_-25d5;Aalsmeer;LTE;23.3;112414.2679;474762
