objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7903229",5G NR,Almere,2020/05/14,2020/05/14,5G NR,Almere,143013,486821,1324SE,8954744646
"7903230",5G NR,Amsterdam,2020/05/14,2020/05/14,5G NR,Amsterdam,116098,486989,1064GW,7959470289
"7903231",5G NR,Amsterdam,2020/11/02,2020/11/02,5G NR,Amsterdam,120225,487008,1016VC,1930342040
"7903232",5G NR,Almere,2020/09/11,2020/09/11,5G NR,Almere,142459,486911,1323MG,9449482045
"7903233",5G NR,Amsterdam,2020/05/14,2020/05/14,5G NR,Amsterdam,125496,487003,1019AG,9578466191
"7903234",5G NR,Amsterdam,2020/05/14,2020/05/14,5G NR,Amsterdam,121618,487033,1012CK,8613290644
"7903235",5G NR,Haarlem,2020/05/14,2020/05/14,5G NR,Haarlem,103215,487200,2012HW,271790786
"7903236",5G NR,Haarlem,2020/05/14,2020/05/14,5G NR,Haarlem,104742,487202,2033PJ,2562950879
"7903237",5G NR,Zandvoort,2020/05/14,2020/05/14,5G NR,Zandvoort,96614,487307,2042GJ,8987038950
"7903238",5G NR,Almelo,2020/06/25,2020/06/25,5G NR,Almelo,241795,487769,7602BD,1027467174
"7903239",5G NR,Amsterdam,2020/10/29,2020/10/29,5G NR,Amsterdam,121105,487136,1012VP,8592323731
"7903240",5G NR,Haarlem,2021/11/05,2021/11/05,5G NR,Haarlem,102001,487315,2015KV,1713349714
"7902505",5G NR,Vledder,2020/06/12,2020/06/12,5G NR,Westerveld,209814,541790,8381XM,1936434529
"7902506",5G NR,Exloo,2020/05/19,2020/05/19,5G NR,Borger-Odoorn,255774,543060,7875TB,2902482520
"7902507",5G NR,Bakhuizen,2020/05/19,2020/05/19,5G NR,Gaasterlân-Sleat,159554,542078,8574TG,4757398997
"7902508",5G NR,Diever,2020/10/09,2020/10/09,5G NR,Westerveld,217830,542591,7981LW,4992662485
"7902509",5G NR,Balk,2020/12/17,2020/12/17,5G NR,Gaasterlân-Sleat,165176,542820,8571GC,7884115884
"7902510",5G NR,Beilen,2020/07/28,2020/07/28,5G NR,Midden-Drenthe,231567,543594,9411XC,6120458130
"7902511",5G NR,Ter Apel,2020/05/19,2020/05/19,5G NR,Vlagtwedde,267863,544422,9561KT,9810959065
"7902512",5G NR,Wolvega,2020/09/24,2020/09/24,5G NR,Weststellingwerf,195265,543524,8471ZM,8190793136
"7902513",5G NR,Valthermond,2020/05/19,2020/05/19,5G NR,Borger-Odoorn,260484,544640,7876CR,3781754926
"7902514",5G NR,Anna Paulowna,2020/09/11,2020/09/11,5G NR,Anna Paulowna,119732,543782,1764NA,1077303816
"7902515",5G NR,Noordwolde (FR),2020/05/19,2020/05/19,5G NR,Weststellingwerf,205285,544149,8391KA,5336342614
"7902516",5G NR,Exloo,2020/08/20,2020/08/20,5G NR,Borger-Odoorn,251923,544957,7873TD,4535083653
"7902517",5G NR,Julianadorp,2020/05/19,2020/05/19,5G NR,Den Helder,113084,544290,1786PZ,8704623967
"7902518",5G NR,Wolvega,2020/05/19,2020/05/19,5G NR,Weststellingwerf,195630,544309,8471ZZ,1346335865
"7902519",5G NR,Stavoren,2020/12/04,2020/12/04,5G NR,Nijefurd,153416,544502,8715EP,1480339019
"7902520",5G NR,Ter Apel,2020/09/11,2020/09/11,5G NR,Vlagtwedde,267374,545832,9561MB,7384785360
"7902521",5G NR,Noordwolde (FR),2021/01/19,2021/01/19,5G NR,Weststellingwerf,206140,544918,8391CM,3916092601
"7902522",5G NR,Schoonloo,2020/10/29,2020/10/29,5G NR,Aa en Hunze,243857,545953,9443TK,3660253123
"7902523",5G NR,Balk,2020/05/19,2020/05/19,5G NR,Gaasterlân-Sleat,168189,545677,8561BM,8966784337
"7902524",5G NR,Den Helder,2020/06/12,2020/06/12,5G NR,Den Helder,110806,546252,1787BK,4671957500
"7902525",5G NR,Hippolytushoef,2020/05/19,2020/05/19,5G NR,Wieringen,125999,546260,1777HR,5472839639
"7902526",5G NR,Oldeholtpade,2020/05/19,2020/05/19,5G NR,Weststellingwerf,200570,546553,8474CM,4893131324
"7902527",5G NR,Oranje,2020/08/20,2020/08/20,5G NR,Midden-Drenthe,226318,547310,9416TC,8578060365
"7902528",5G NR,2e Exloermond,2020/11/02,2020/11/02,5G NR,Borger-Odoorn,260015,548672,9571BM,322501972
"7902529",5G NR,Koudum,2020/05/19,2020/05/19,5G NR,Nijefurd,159513,547563,8723CW,5215092701
"7902530",5G NR,Borger,2020/06/25,2020/06/25,5G NR,Borger-Odoorn,249354,548588,9531BG,5890684075
"7902531",5G NR,Oldeholtwolde,2021/10/20,2021/10/20,5G NR,Weststellingwerf,194901,547840,8477AB,505721441
"7902532",5G NR,Hooghalen,2020/07/28,2020/07/28,5G NR,Midden-Drenthe,231963,548682,9414VK,3444701442
"7902533",5G NR,Elsloo (FR),2021/11/05,2021/11/05,5G NR,Ooststellingwerf,212037,548925,8424PS,5384927229
