objectid,sat_code,WOONPLAATSNAAM,DATUM_PLAATSING,DATUM_INGEBRUIKNAME,HOOFDSOORT,GEMNAAM,X,Y,POSTCODE,ID
"7921408",LTE,VOORHOUT,2020/08/30,2020/09/30,LTE,Teylingen,92748,470456,2215RA,8787357071
"7921409",LTE,WILP,2018/11/15,2018/12/15,LTE,Voorst,206554,470334,7384AP,939128099
"7921410",LTE,HILVERSUM,1998/02/02,2020/09/30,LTE,Hilversum,140019,470162,1211KK,1481615741
"7921411",LTE,ENSCHEDE,1999/05/20,2021/11/13,LTE,Enschede,260700,471270,7533CG,5722813012
"7921412",LTE,APELDOORN,1998/08/06,2021/03/31,LTE,Apeldoorn,193241,470342,7314AX,7852770976
"7921413",LTE,APELDOORN,2008/11/06,2021/03/04,LTE,Apeldoorn,191647,470331,7313EK,3637078769
"7921414",LTE,ZWOLLE,1998/08/06,2021/08/26,LTE,Zwolle,204320,499900,8014ZR,1349531813
"7921415",LTE,LELYSTAD,2005/07/01,2021/04/14,LTE,Lelystad,157140,499715,8245AB,6688242098
"7921416",LTE,HATTEM,1998/09/09,2021/07/10,LTE,Hattem,199493,499968,8051KE,8778606433
"7921417",LTE,ZWOLLE,2005/10/07,2021/07/18,LTE,Zwolle,203090,500077,8016KE,2770757683
"7921418",LTE,BEVERWIJK,2001/05/03,2020/09/30,LTE,Beverwijk,105464,500157,1941HD,5223573521
"7921419",LTE,PURMEREND,2004/04/22,2020/09/30,LTE,Purmerend,125300,500020,1447XX,6481710785
"7921420",LTE,BEVERWIJK,1998/05/19,2020/09/30,LTE,Beverwijk,104550,500290,1943BK,1861814964
"7921421",LTE,ASSENDELFT,2020/02/19,2020/03/19,LTE,Zaanstad,112373,500244,1566JA,7865376953
"7921422",LTE,OMMEN,2012/09/04,2018/05/28,LTE,Ommen,227957,500609,7731PM,4066308488
"7921423",LTE,WIJK AAN ZEE,1995/06/15,2020/07/03,LTE,Beverwijk,100918,500459,1949BA,7119978112
"7921424",LTE,PURMEREND,2004/11/26,2020/03/18,LTE,Purmerend,126407,500335,1447EG,7100650088
"7921425",LTE,ZWOLLE,1999/12/03,2020/10/13,LTE,Zwolle,207366,500535,8026PA,914438559
"7921426",LTE,WORMER,1995/07/21,2020/12/04,LTE,Wormerland,115113,500603,1531AD,9505852765
"7921427",LTE,VOLENDAM,2011/08/02,2020/03/26,LTE,Edam-Volendam,132537,500527,1131CW,1180272785
"7921428",LTE,ASSENDELFT,1997/02/21,2020/01/18,LTE,Zaanstad,113132,500656,1566JN,2662673361
"7921429",LTE,ZWOLLE,2000/08/14,2021/07/29,LTE,Zwolle,205172,500946,8013PE,1339583682
"7921430",LTE,VELSEN-NOORD,2020/11/10,2020/12/10,LTE,Beverwijk,102872,501037,1949AG,1797589524
"7921431",LTE,VOLENDAM,2019/04/09,2019/05/09,LTE,Edam-Volendam,133283,500813,1131CK,2679536294
"7921432",LTE,ZWOLLE,1996/11/14,2015/07/09,LTE,Zwolle,203800,501050,8017BE,4559589175
"7921433",LTE,LELYSTAD,1997/05/01,2021/04/30,LTE,Lelystad,161020,500820,8233GS,4145657979
"7921434",LTE,HEEMSKERK,2021/06/06,2021/07/06,LTE,Heemskerk,107259,501061,1966SN,2717037695
"7921435",LTE,PURMEREND,2006/12/29,2020/03/19,LTE,Purmerend,127540,500975,1445TG,9481335750
"7921436",LTE,LELYSTAD,2021/04/11,2021/05/11,LTE,Lelystad,162420,500936,8226CD,2308424074
"7921437",LTE,PURMEREND,2009/12/30,2016/06/14,LTE,Purmerend,126252,501018,1447CP,207143661
"7921438",LTE,WIJDEWORMER,1997/09/24,2020/03/19,LTE,Wormerland,121600,501100,1456NL,8354089861
"7921439",LTE,BEVERWIJK,2019/11/11,2019/12/11,LTE,Beverwijk,103816,501282,1944PB,4726021919
"7921440",LTE,WIJK AAN ZEE,2008/09/16,2020/02/06,LTE,Beverwijk,100833,501398,1949EC,4249164476
"7921441",LTE,WORMER,2005/12/30,2020/06/11,LTE,Wormerland,114857,501297,1531ME,2902307953
"7921442",LTE,BEVERWIJK,1995/09/07,2019/12/12,LTE,Beverwijk,106079,501397,1945TW,3282730185
"7921443",LTE,VOLENDAM,1996/06/14,2012/12/18,LTE,Edam-Volendam,133558,501203,1131WS,5570715290
"7921444",LTE,KLOOSTERHAAR,1999/06/14,2021/10/15,LTE,Hardenberg,242270,501960,7694BA,231223107
"7921445",LTE,LELYSTAD,2005/09/09,2021/04/20,LTE,Lelystad,163620,501210,8219PS,9724515379
"7921446",LTE,HEEMSKERK,2005/06/30,2020/09/30,LTE,Heemskerk,108260,501492,1967GC,4800926146
"7921447",LTE,ZWOLLE,2021/06/06,2021/07/06,LTE,Zwolle,203400,501706,8017JM,9750779496
"7921448",LTE,GIETHMEN,1999/08/24,2014/03/18,LTE,Ommen,222550,501950,8147RG,8426763818
"7921449",LTE,ZWOLLE,2003/12/29,2021/07/10,LTE,Zwolle,202344,501800,8017KZ,7647314411
"7921450",LTE,DALFSEN,1961/12/25,2017/11/10,LTE,Dalfsen,218550,501985,7722HV,4836293030
"7921451",LTE,KROMMENIE,2010/04/06,2021/03/25,LTE,Zaanstad,111384,501796,1562WB,7201694431
"7921452",LTE,LELYSTAD,2007/12/28,2021/10/26,LTE,Lelystad,167973,501741,8219PN,5900851975
"7921453",LTE,VOLENDAM,2004/09/10,2020/09/30,LTE,Edam-Volendam,132450,501800,1132JZ,5480416741
"7921454",LTE,ZWOLLE,2021/05/29,2021/06/29,LTE,Zwolle,202187,501978,8017JN,7371829791
"7921455",LTE,LELYSTAD,1999/10/13,2021/04/21,LTE,Lelystad,158755,501790,8243PR,7219960579
"7921456",LTE,PURMEREND,2003/11/14,2020/03/10,LTE,Purmerend,124385,501924,1448TA,1537885991
"7921457",LTE,ZWOLLE,1997/09/19,2021/07/21,LTE,Zwolle,204226,502136,8012BW,4833029608
"7921458",LTE,WORMERVEER,2004/07/15,2020/09/30,LTE,Zaanstad,113698,502072,1521RE,6803753848
"7921459",LTE,PURMEREND,1999/01/19,2012/12/19,LTE,Purmerend,125505,501990,1441EC,6305301337
"7921460",LTE,LELYSTAD,2011/11/07,2021/04/28,LTE,Lelystad,162539,501980,8212EE,586085303
"7921461",LTE,ZALK,2000/08/24,2021/04/16,LTE,Kampen,194533,502146,8276AW,2863814638
"7921462",LTE,LELYSTAD,2000/12/22,2021/06/16,LTE,Lelystad,159880,502046,8243KA,6691935868
"7921463",LTE,OMMEN,2011/01/17,2021/10/19,LTE,Ommen,230466,502630,7731TV,2284170589
"7921464",LTE,PURMEREND,1995/05/22,2013/01/28,LTE,Purmerend,126362,502166,1443VC,3202580711
"7921465",LTE,KROMMENIE,2020/04/11,2020/05/11,LTE,Zaanstad,112782,502266,1561TZ,4771980968
"7921466",LTE,PURMEREND,1996/10/08,2020/09/30,LTE,Purmerend,127080,502230,1443XJ,1897102455
"7921467",LTE,LELYSTAD,2001/09/24,2021/10/05,LTE,Lelystad,165014,502173,8219PK,7242121374
